,player_id,player_name_comma,player_birthday,total_matches,total_points
0,11551,"BELL, David",-,21,-
0,343,"BELL, Dean",1962-04-29,60,44
0,11552,"BELL, Frank",1916-10-16,1,-
0,405,"BELL, Geoff",1973-06-01,124,152
0,4229,"BELL, James",-,6,-
0,23911,"BELL, James",1994-05-02,2,-
0,493,"BELL, Jason",1971-08-02,173,146
0,11087,"BELL, Jeff",-,14,15
0,11554,"BELL, Jim",-,26,24
0,5113,"BELL, Jim",1967-02-11,9,-
0,10433,"BELL, John",1929-12-03,52,39
0,10111,"BELL, Les",1926-01-11,32,84
0,11556,"BELL, Les",-,21,12
0,524,"BELL, Mark",1967-03-19,143,257
0,3708,"BELL, Matthew",1981-08-30,142,4
0,11557,"BELL, Nathan",-,3,-
0,676,"BELL, Paul",1969-01-14,139,116
0,1377,"BELL, Roy",1984-08-30,9,30
0,9233,"BELL, S",-,1,3
0,737,"BELL, Steve",1976-05-28,172,376
0,429,"BELLA, Anthony",1973-07-08,25,4
0,4,"BELLA, Martin",1964-03-26,235,28
0,3094,"BELLA, Robert",-,1,-
0,902,"BELLAMY, Craig",1958-10-03,150,175
0,9172,"BELLAMY, Cyril",1902-12-06,41,57
0,11112,"BELLAMY, Peter",1951-06-05,16,13
0,11558,"BELLAMY, Ted",1884-10-12,6,16
0,11250,"BELLEW, Mick",-,4,12
0,11352,"BENDALL, Dennis",1956-10-01,68,72
0,2708,"BENGE, Jason",-,12,8
0,850,"BENKIC, Steve",1969-06-28,34,24
0,10590,"BENNETT, Bill",1938-04-08,19,58
0,3751,"BENNETT, Bob",-,1,2
0,11240,"BENNETT, Brian",-,19,3
0,9635,"BENNETT, Cec",1908-05-05,8,3
0,10034,"BENNETT, Edward",1914-05-08,12,2
0,52919,"BENNETT, Edward",1892-01-20,1,-
