,player_id,player_name_comma,player_birthday,total_matches,total_points
0,1140,"McINDOE, Alan",1964-05-14,9,12
0,20170,"McINNES, Cameron",1994-02-01,1+,-
0,661,"McKENNA, Chris",1974-10-29,7,-
0,1556,"McKINNON, Don",1955-04-29,1,-
0,967,"McLEAN, Mike",1963-03-11,5,-
0,5547,"McMANUS, James",1986-01-15,3,4
0,13960,"McQUEEN, Chris",1987-08-03,5,-
0,207,"NAGAS, Ken",1973-06-18,2,-
0,31354,"NANAI, Jeremiah",2003-02-18,7+,8
0,20569,"NAPA, Dylan",1992-11-13,7,-
0,894,"NIEBLING, Bryan",1960-07-18,9,4
0,7734,"NIELSEN, Dane",1985-06-10,3,-
0,1547,"NISZCZOT, Ziggy",1955-09-01,2,6
0,14500,"NORMAN, Corey",1991-02-03,1,-
0,132,"NORTON, Travis",1976-04-12,5,-
0,296,"NUTLEY, Danny",1974-02-04,1,-
0,687,"O'BRIEN, Clinton",1974-01-16,2,-
0,1051,"O'CONNOR, Michael",1960-11-30,19,129
0,388,"O'DAVIS, Robbie",1972-09-03,12,6
0,172,"O'DONNELL, Luke",1980-10-22,5,-
0,1605,"O'HARA, Ryan",1980-08-18,1,-
0,1328,"O'MELEY, Mark",1981-05-22,10,-
0,221,"O'NEILL, Julian",1972-10-14,10,26
0,15020,"O'NEILL, Justin",1991-04-04,4,-
0,20570,"OATES, Corey",1994-10-20,9,12
0,21473,"OFAHENGAUE, Joe",1995-09-15,3,-
0,29969,"OLAKAU'ATU, Haumole",1998-10-01,2+,-
0,1506,"OLIPHANT, Greg",1950-06-22,1,-
0,22772,"PANGAI JUNIOR, Tevita",1996-02-04,1,-
0,17155,"PAPALII, Josh",1992-05-13,23,12
0,116,"PARKER, Corey",1982-05-05,19,-
0,20880,"PAULO, Junior",1993-11-20,11,-
0,100,"PAY, Dean",1969-06-03,12,-
0,287,"PEACHEY, David",1974-04-21,1,4
0,20252,"PEACHEY, Tyrone",1991-08-08,3,-
0,5565,"PEARCE, Mitchell",1989-04-07,19,12
0,873,"PEARCE, Wayne",1960-03-29,15,12
0,16887,"PEATS, Nathan",1990-10-05,3,-
0,1394,"PERRY, Josh",1981-02-04,3,-
0,1530,"PHELAN, Chris",1955-12-12,2,-
0,22966,"PONGA, Kalyn",1998-03-30,7+,12
0,813,"POORE, Justin",1985-01-26,3,-
0,508,"POTTER, Michael",1963-09-24,1,-
0,1536,"PRICE, Ray",1953-03-04,8,-
0,164,"PRICE, Steve",1974-03-12,28,8
0,331,"PRIDDIS, Luke",1977-04-14,3,-
0,59,"PRINCE, Scott",1980-02-27,5,6
0,7740,"PRIOR, Matt",1987-05-24,1,-
0,1392,"QUINN, Anthony",1983-01-19,3,8
0,1552,"QUINN, Graham",1953-12-13,1,-
0,1191,"RAMPLING, Tony",1961-10-25,3,-
0,1520,"RAUDONIKIS, Tom",1950-04-13,1,3
0,1507,"REDDY, Rod",1954-03-01,1,-
0,643,"RENOUF, Steve",1970-06-08,11,8
0,19417,"REYNOLDS, Adam",1990-07-10,2,6
0,17168,"REYNOLDS, Josh",1989-04-13,4,-
0,1543,"RIBOT, John",1955-03-03,8,10
0,176,"RICKETSON, Luke",1973-02-05,10,8
0,875,"ROACH, Steve",1962-04-24,17,-
0,60,"ROBERTS, Ian",1965-07-31,9,-
0,17061,"ROBERTS, James",1993-03-03,3,-
0,25861,"ROBSON, Reece",1998-06-18,4+,-
0,555,"RODWELL, Brett",1970-05-23,1,4
0,403,"ROGERS, Mat",1976-02-01,5,37
0,1516,"ROGERS, Steve",1954-11-20,4,-
0,327,"ROONEY, Luke",1983-01-16,5,12
0,332,"ROSS, Ben",1980-05-23,6,-
0,402,"ROSS, Robbie",1975-01-24,3,4
0,149,"RYAN, Andrew",1978-12-02,12,-
0,13437,"RYAN, Peter",1971-03-23,2,-
0,810,"RYLES, Jason",1979-01-17,8,-
0,21516,"SAIFITI, Daniel",1996-05-01,7,4
0,21515,"SAIFITI, Jacob",1996-05-01,2,4
0,225,"SAILOR, Wendell",1974-07-16,14,4
0,184,"SALVATORI, Craig",1966-01-22,5,4
0,23750,"SAMI, Phillip",1997-08-02,2,-
0,394,"SARGENT, Mark",1964-08-18,1,-
0,428,"SATTLER, Scott",1971-12-13,1,-
0,1290,"SCHIFCOFSKE, Clinton",1975-11-10,2,4
0,671,"SCHLOSS, Jeremy",1973-09-18,3,-
0,2834,"SCOTT, Beau",1984-05-15,11,4
0,1503,"SCOTT, Colin",1960-03-22,17,8
0,1921,"SCOTT, Matthew",1985-07-30,22,4
0,237,"SEERS, Matt",1974-06-28,4,-
0,546,"SERDARIS, Jim",1971-10-01,3,4
0,65,"SHEARER, Dale",1965-07-25,26,66
0,2825,"SHILLINGTON, David",1983-06-24,8,-
0,1534,"SIGSWORTH, Phil",1959-01-31,3,4
0,1144,"SIMMONS, Royce",1960-05-02,10,4
0,561,"SIMON, John",1972-05-29,4,5
0,277,"SIMPSON, Steve",1979-09-27,13,-
0,16592,"SIMS, Tariq",1990-02-09,6,-
0,88,"SING, Matt",1975-03-13,24,20
0,435,"SIRONEN, Paul",1965-05-23,14,-
0,735,"SLATER, Billy",1983-06-18,31,48
0,1505,"SMITH, Alan",1955-05-02,1,-
0,742,"SMITH, Cameron",1983-06-18,42,58
0,283,"SMITH, Craig",1971-10-31,3,-
0,233,"SMITH, Darren",1968-12-08,22,8
0,1099,"SMITH, Gary",1963-03-03,1,-
0,94,"SMITH, Jason",1972-03-14,16,5
0,280,"SNOWDEN, Kade",1986-12-31,2,-
0,1388,"SOWARD, Jamie",1984-11-13,3,18
0,1557,"STACEY, Steve",1958-01-29,2,4
0,117,"STAGG, David",1983-10-18,1,-
0,26156,"STAGGS, Kotoni",1998-10-29,1,-
0,199,"STAINS, Dan",1964-06-28,4,-
0,1125,"STERLING, Peter",1960-06-16,13,-
0,294,"STEVENS, Jason",1973-01-08,8,-
0,820,"STEWART, Brett",1985-02-27,8,20
0,1610,"STEWART, Glenn",1984-01-11,5,-
0,1527,"STONE, Robert",1956-02-27,1,-
0,211,"STUART, Ricky",1967-01-07,14,12
0,22771,"SU'A, Jaydn",1997-10-23,6+,-
0,30909,"SUA'ALI'I, Joseph-Aukuso",2003-08-01,1+,-
0,29833,"TABUAI-FIDOW, Hamiso",2001-09-05,6+,36
0,760,"TAHU, Timana",1980-10-16,12,32
0,22775,"TALAKAI, Siosifa",1997-04-18,2,-
